mention_id,episode_id,published_at,company_or_theme,ticker,market,mention_type,stance,conviction,time_horizon,evidence_text,rationale,review_status,reviewer_note
sample_m_001,sample_ep_001,2026-06-05,台積電,2330,TWSE,company,bullish,medium,medium,我覺得台積電接下來還是會受惠 AI 需求，先進製程的能見度很高。,有明確正向未來理由與單一股票標的。,approved,sample row for schema validation
sample_m_002,sample_ep_001,2026-06-05,AI Server,,concept,theme,watch,low,medium,AI Server 這條線可以先觀察，等下季財報確認。,屬於觀察名單，不納入主要回測。,approved,sample row for schema validation
m_20260603_001,ep_20260603_667,2026-06-03,Marvell,MRVL,US,company,past_review,medium,short,老黃講說 Marvell 可能是下一個兆元企業之後，Marvell 這個大牛車的東西突然間變成飛天神牛直接射出去。,主要是在回顧 Jensen Huang 點名後股價反應，屬於事後現象描述，不先作為新 bullish 訊號。,approved,"small whisper review confirms Marvell context; approved as past_review, not a new bullish signal."
m_20260603_002,ep_20260603_667,2026-06-03,光通訊,,concept,theme,bullish,medium,medium,光的一個成長的速率跟未來發展的可能性是持續的在拉大。,對光通訊方向有明確正向產業判斷，但屬概念主題，需事前定義籃子後才能回測。,approved,ASR transcript needs manual cleanup; evidence may refer to optical interconnect CPO or silicon photonics; review: Context supports optical communication bullish thesis.
m_20260603_003,ep_20260603_667,2026-06-03,光通訊,,concept,theme,bullish,medium,short,有可能在後面這個資金又會再一次的說不定就往光的方向去跑。,提到資金可能再往光通訊方向流動，偏短中期題材判斷。,approved,ASR transcript needs manual cleanup; do not approve until context is verified; review: Context supports short-term capital rotation toward optical theme.
m_20260603_004,ep_20260603_667,2026-06-03,AI PC,,concept,theme,watch,medium,medium,有沒有可能在 AI PC 這邊產出新的可能性。,語氣偏觀察與驗證，尚非明確看多，因此先標 watch。,approved,ASR transcript needs manual cleanup; verify whether this is a new signal or discussion only; review: Context clearly frames AI PC as watch item.
m_20260603_005,ep_20260603_667,2026-06-03,AI PC,,concept,theme,bullish,medium,medium,如果說 AI PC 可以拉起來的話 因為它本身的單價是比較高。,對 AI PC 銷量若改善時的供應鏈價值有正向假設，但仍需確認語氣強度。,approved,ASR transcript needs manual cleanup; concept not included in main backtest; review: Approved with shorter evidence because surrounding ASR omits some component wording.
m_20260603_006,ep_20260603_667,2026-06-03,台積電,2330,TWSE,company,bullish,medium,short,TSMC 很明顯地在轉強 搞不好後面投信的資金進來就有機會會把它推上去。,對 TSMC 型態與資金面有正向短期判斷，可作候選 bullish 訊號。,approved,ASR transcript needs manual cleanup; verify quote and timing before approval; review: Context supports TSMC short-term fund-flow bullish thesis; ASR cleanup still recommended.
m_20260603_007,ep_20260603_667,2026-06-03,NVIDIA,NVDA,US,company,bullish,medium,short,NVIDIA 也是有突破在往上去走 所以確實其實是有機會的。,對 NVIDIA 走勢突破有正向描述，可作候選 bullish 訊號。,approved,ASR transcript needs manual cleanup; verify exact wording before approval; review: Context supports NVIDIA breakout statement.
m_20260603_008,ep_20260603_667,2026-06-03,功率半導體,,concept,theme,bullish,medium,medium,功率半導體相關的一些公司 基本面有滿顯著的在改善中 可能是下一波題材的一個會據點。,對功率半導體基本面與題材延伸有正向判斷，但為概念主題。,approved,ASR transcript needs manual cleanup; concept not included in main backtest; review: Context supports power semiconductor fundamentals/theme statement.
m_20260530_001,ep_20260530_666,2026-05-30,被動元件,,concept,theme,bullish,medium,short,全球缺口大概是高達20幾%左右 所有人的產能加起來都是不夠的 後面都會持續發酵 持續的漲價。,對電容與被動元件供需缺口及漲價有明確正向描述，但需確認 ASR 是否誤寫材料名稱。,approved,ASR transcript needs manual cleanup; verify whether this refers to aluminum capacitors or other passive components; review: Context supports passive component shortage and price increase thesis.
m_20260530_002,ep_20260530_666,2026-05-30,AI 軟體,,concept,theme,bullish,medium,medium,其實AI是幫這些軟體去做加分 他不是一個扣分項。,對 AI 軟體受惠有明確正向判斷，可作概念候選訊號。,approved,ASR transcript needs manual cleanup; concept not included in main backtest; review: Context supports AI software as beneficiary rather than harmed by AI.
m_20260530_003,ep_20260530_666,2026-05-30,Snowflake,SNOW,US,company,bullish,medium,short,最近像是 Okta 或是 Snowflake 都是開出極好的成績。,以近期成績作為正向證據，但 ASR 與上下文需校對後才能核准。,approved,ASR transcript needs manual cleanup; verify exact company names and whether this is new signal or result review; review: Approved with corrected company spelling and cleaned ASR wording.
m_20260530_004,ep_20260530_666,2026-05-30,ODM/OEM,,concept,theme,bullish,medium,short,讓老AI再一次的全部跑回來 重新動回去這些老AI的話 當然對很多人來講它是一個很大的刺激。,描述資金重新回到老 AI 與 ODM/OEM 族群，偏短期資金輪動正向候選。,approved,ASR transcript needs manual cleanup; concept not included in main backtest; review: Context supports old AI/ODM-OEM capital rotation thesis.
m_20260530_005,ep_20260530_666,2026-05-30,AI 軟體,,concept,theme,bullish,medium,medium,後面就是有可能這個資金會往這個軟體的方向去跑。,明確提到資金可能轉往軟體方向，可作 AI 軟體概念候選訊號。,approved,ASR transcript needs manual cleanup; verify whether the intended scope is US AI software; review: Context supports possible capital rotation toward software.
m_20260530_006,ep_20260530_666,2026-05-30,記憶體,,concept,theme,watch,medium,short,類似像現在記憶體大家都知道很缺，突然有廠商說大擴產，那邊你就要小心。,對記憶體供需處在高熱與擴產風險提出提醒，因此先標 watch 而非 bullish 或 bearish。,approved,ASR transcript needs manual cleanup; verify expansion context before approval; review: Approved as watch/risk note with cleaned ASR wording.
m_20260527_001,ep_20260527_665,2026-05-27,台積電,2330,TWSE,company,bullish,medium,medium,在台灣的話好像也沒有什麼別的更好的選擇 所以他台積電拿到的配已經超級好 後面會越來越好。,對台積電長期競爭與分紅事件後續有正向描述，可作候選 bullish 訊號。,approved,ASR transcript needs manual cleanup; verify evidence wording against audio; review: Context supports TSMC as relatively strong local choice; evidence should still be checked if used in public copy.
m_20260527_002,ep_20260527_665,2026-05-27,Tesla,TSLA,US,company,watch,medium,long,像Tesla這樣子的一個轉變 我覺得對很多長期的股東來講也是新蘭的接手。,討論 Tesla 從電動車轉向能源、自駕與機器人敘事，語氣偏長期觀察而非明確買進。,approved,ASR transcript needs manual cleanup; verify whether stance should remain watch; review: Context supports Tesla as long-term watch due business narrative shift.
m_20260527_003,ep_20260527_665,2026-05-27,衛星 AI 運算,,concept,theme,bullish,medium,long,SpaceX某個程度上可能會變成新的一種NeoCloud概念股 我認為這個是很高機率會看到的。,對 SpaceX 衛星算力與 NeoCloud 故事有明確正向想像，但屬非上市概念題材。,approved,ASR transcript needs manual cleanup; concept not included in main backtest; review: Context supports satellite AI compute / NeoCloud thesis.
m_20260527_004,ep_20260527_665,2026-05-27,散熱,,concept,theme,bullish,medium,long,如果說軌道衛星的AI伺服器是真的可以推起來的話 散熱這邊可能到後面都會帶來非常具有的一個收入。,對衛星 AI 伺服器帶動散熱需求有正向判斷，但需確認供應鏈標的後才能回測。,approved,ASR transcript needs manual cleanup; concept not included in main backtest; review: Context supports satellite AI server driving thermal opportunity.
m_20260527_005,ep_20260527_665,2026-05-27,功率元件,,concept,theme,bullish,medium,short,有一些元件在缺貨，這些功率元件開始在漲價。,提到功率元件缺貨與漲價，偏短期供需正向候選。,approved,ASR transcript needs manual cleanup; verify whether this overlaps passive components or power semiconductor; review: Approved with cleaned ASR wording; still a concept mention.
m_20260527_006,ep_20260527_665,2026-05-27,機器人,,concept,theme,watch,medium,medium,我還蠻能夠去接受這些 機器人這種東西 我相信就是機器人這種東西你都知道說它並沒有要在短期內去做什麼放量。,對機器人題材接受度高但也承認短期未放量，因此先標 watch。,approved,"ASR transcript needs manual cleanup; concept not included in main backtest; review: Context supports robotics as watch item, not short-term volume thesis."
m_20260603_009,ep_20260603_667,2026-06-03,筆電 OEM,,concept,theme,watch,medium,medium,有沒有辦法去帶動這些筆電的 OEM 的話 可能要再觀察一下。,AI PC 題材是否帶動筆電 OEM 仍待驗證，因此標 watch。,approved,ASR transcript needs manual cleanup; verify whether this is about notebook OEM demand; review: Context supports notebook OEM watch framing.
m_20260603_010,ep_20260603_667,2026-06-03,被動元件,,concept,theme,bullish,medium,medium,目前 AI PC 裡面的一些用料都會使用得比較好，不管是在晶片端附近或板子上面的材料，不管是上面的被動元件或各種元件，都有一個材料的提升。,AI PC 或終端規格升級可能帶動材料與被動元件升級，屬概念題材，需定義籃子後才能回測。,approved,small whisper review confirms AI PC material/passive-component upgrade context; concept remains not_applicable for single-stock backtest.
m_20260530_007,ep_20260530_666,2026-05-30,Salesforce,CRM,US,company,bullish,medium,short,像 Salesforce 他搞了一個 record high 的 buyback，他就狂買股票；你們覺得我公司很爛，我就用行動證明給你看。,Salesforce 管理層以 record-high buyback 表態，屬公司派正向訊號。,approved,small whisper review confirms Salesforce record-high buyback wording; approved as bullish company mention.
m_20260530_008,ep_20260530_666,2026-05-30,ServiceNow,NOW,US,company,bullish,medium,medium,ServiceNow的老闆也是跟大家講說 外面的那些AI論述全部都是講錯的 其實他的公司是在一個非常大的順風上面。,對 ServiceNow 在 AI 論述下處於順風有明確正向描述。,approved,ASR transcript needs manual cleanup; verify exact quote and company context; review: Context supports ServiceNow being in a strong AI tailwind.
m_20260530_009,ep_20260530_666,2026-05-30,AI Server,,concept,theme,watch,medium,medium,你也不是說AI的Server好 所以所有在做Server的都好 沒有有些Server就是可能是躺在地上。,對 AI Server 題材提出選股差異提醒，不把整個族群一概標 bullish。,approved,ASR transcript needs manual cleanup; concept not included in main backtest; review: Context supports watch stance for AI Server stock selection risk.
m_20260530_010,ep_20260530_666,2026-05-30,被動元件,,concept,theme,bullish,medium,short,大家也開始注意到鋁電容這邊出事情了；鋁電容是非常缺乏，市場對它的討論度是不夠的，他們其實都是有噴。,進一步指出鋁電容或其他被動元件缺貨且討論度不足，屬正向供需題材。,approved,small whisper review confirms aluminum capacitor/passive-component shortage and price-action context.
m_20260530_011,ep_20260530_666,2026-05-30,Cloudflare,NET,US,company,past_review,medium,medium,像那時候 Palantir 是二十幾直接噴到一百多，那 Cloudflare 什麼翻倍，CrowdStrike 就是一堆軟體都直接射出去。,回顧上一輪 AI 軟體行情中 Cloudflare 等股價表現，先標 past_review 避免當成新訊號。,approved,small whisper review confirms Cloudflare/CrowdStrike/Palantir software-stock historical-review context; approved as past_review.
m_20260527_007,ep_20260527_665,2026-05-27,被動元件,,concept,theme,bullish,medium,medium,整體趨勢都是在往上，所以其實像前面去看被動元件的時候，有時候你當然也會懷疑。,對全球被動元件趨勢仍偏正向，但保留是否人為小炒作的疑慮。,approved,ASR transcript needs manual cleanup; verify quote and scope before approval; review: Approved with cleaned ASR wording; keep as concept mention.
m_20260527_008,ep_20260527_665,2026-05-27,衛星 AI 運算,,concept,theme,bullish,medium,long,像衛星的這種AI運算 雖然有些人會覺得說太遠了 但我現在是會有興趣想要去看他的。,對衛星 AI 運算從不看好轉為有興趣，屬長期題材候選。,approved,ASR transcript needs manual cleanup; concept not included in main backtest; review: Context supports interest in satellite AI compute as a long-term theme.
m_20260527_009,ep_20260527_665,2026-05-27,載板,,concept,theme,past_review,medium,short,像載板你就比較講 就是它還是整天在那邊噴。,small whisper review did not confirm 載板 clearly; rejected rather than keep an uncertain concept mention.,rejected,small whisper review did not confirm 載板 clearly; rejected rather than keep an uncertain concept mention.
