concept_name,concept_issue,directional_mention_count,active_proxy_count,active_weight_total,return_status_counts,proxy_id,ticker,market,name,weight,benchmark_market,is_active,current_notes,review_decision,corrected_weight,corrected_benchmark_market,corrected_is_active,replacement_ticker,replacement_market,replacement_name,review_comment
AI PC,ok,1,4,1,pending_price:1,concept_ai_pc_2317,2317,TWSE,鴻海,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI PC,ok,1,4,1,pending_price:1,concept_ai_pc_2356,2356,TWSE,英業達,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI PC,ok,1,4,1,pending_price:1,concept_ai_pc_2382,2382,TWSE,廣達,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI PC,ok,1,4,1,pending_price:1,concept_ai_pc_3231,3231,TWSE,緯創,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI Server,proxy_defined_before_mentions,0,4,1,,concept_ai_server_2317,2317,TWSE,鴻海,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI Server,proxy_defined_before_mentions,0,4,1,,concept_ai_server_2382,2382,TWSE,廣達,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI Server,proxy_defined_before_mentions,0,4,1,,concept_ai_server_3231,3231,TWSE,緯創,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI Server,proxy_defined_before_mentions,0,4,1,,concept_ai_server_6669,6669,TWSE,緯穎,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI 軟體,ok,2,7,1,pending_price:2,concept_ai_software_crm,CRM,US,Salesforce,0.1428571429,US,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI 軟體,ok,2,7,1,pending_price:2,concept_ai_software_crwd,CRWD,US,CrowdStrike,0.1428571429,US,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI 軟體,ok,2,7,1,pending_price:2,concept_ai_software_net,NET,US,Cloudflare,0.1428571429,US,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI 軟體,ok,2,7,1,pending_price:2,concept_ai_software_now,NOW,US,ServiceNow,0.1428571429,US,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI 軟體,ok,2,7,1,pending_price:2,concept_ai_software_okta,OKTA,US,Okta,0.1428571429,US,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI 軟體,ok,2,7,1,pending_price:2,concept_ai_software_pltr,PLTR,US,Palantir,0.1428571429,US,true,manual v0.1 equal-weight proxy basket,,,,,,,,
AI 軟體,ok,2,7,1,pending_price:2,concept_ai_software_snow,SNOW,US,Snowflake,0.1428571429,US,true,manual v0.1 equal-weight proxy basket,,,,,,,,
ODM/OEM,ok,1,5,1,pending_price:1,concept_odm_oem_2317,2317,TWSE,鴻海,0.2,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
ODM/OEM,ok,1,5,1,pending_price:1,concept_odm_oem_2356,2356,TWSE,英業達,0.2,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
ODM/OEM,ok,1,5,1,pending_price:1,concept_odm_oem_2382,2382,TWSE,廣達,0.2,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
ODM/OEM,ok,1,5,1,pending_price:1,concept_odm_oem_3231,3231,TWSE,緯創,0.2,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
ODM/OEM,ok,1,5,1,pending_price:1,concept_odm_oem_6669,6669,TWSE,緯穎,0.2,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
光通訊,ok,2,3,0.9999999999,pending_price:2,concept_optical_comm_3081,3081,TPEx,聯亞,0.3333333333,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
光通訊,ok,2,3,0.9999999999,pending_price:2,concept_optical_comm_3163,3163,TPEx,波若威,0.3333333333,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
光通訊,ok,2,3,0.9999999999,pending_price:2,concept_optical_comm_4979,4979,TPEx,華星光,0.3333333333,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
功率元件,single_name_proxy;needs_sector_expansion,1,1,1,pending_price:1,concept_power_component_8081,8081,TWSE,致新,1,TWSE,true,manual v0.1 single-name proxy; expand before serious analysis,,,,,,,,
功率半導體,single_name_proxy;needs_sector_expansion,1,1,1,pending_price:1,concept_power_semiconductor_8081,8081,TWSE,致新,1,TWSE,true,manual v0.1 single-name proxy; expand before serious analysis,,,,,,,,
散熱,mixed_component_markets,1,2,1,pending_price:1,concept_thermal_3017,3017,TWSE,奇鋐,0.5,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
散熱,mixed_component_markets,1,2,1,pending_price:1,concept_thermal_3324,3324,TPEx,雙鴻,0.5,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
筆電 OEM,proxy_defined_before_mentions,0,4,1,,concept_laptop_oem_2317,2317,TWSE,鴻海,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
筆電 OEM,proxy_defined_before_mentions,0,4,1,,concept_laptop_oem_2356,2356,TWSE,英業達,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
筆電 OEM,proxy_defined_before_mentions,0,4,1,,concept_laptop_oem_2382,2382,TWSE,廣達,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
筆電 OEM,proxy_defined_before_mentions,0,4,1,,concept_laptop_oem_3231,3231,TWSE,緯創,0.25,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
衛星 AI 運算,no_active_proxy;mentioned_but_not_trackable;has_inactive_rows,2,0,0,,concept_satellite_ai_none,,concept,,0,TWSE,false,no public pure-play proxy in v0.1; keep not_applicable until basket is reviewed,,,,,,,,
被動元件,mixed_component_markets,4,3,0.9999999999,pending_price:4,concept_passive_2327,2327,TWSE,國巨,0.3333333333,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
被動元件,mixed_component_markets,4,3,0.9999999999,pending_price:4,concept_passive_2492,2492,TWSE,華新科,0.3333333333,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
被動元件,mixed_component_markets,4,3,0.9999999999,pending_price:4,concept_passive_6173,6173,TPEx,信昌電,0.3333333333,TWSE,true,manual v0.1 equal-weight proxy basket,,,,,,,,
