mention_id,episode_id,published_at,episode_title,company_or_theme,ticker,market,mention_type,current_stance,current_conviction,current_time_horizon,evidence_text,rationale,reviewer_note,transcript_line,transcript_context,review_decision,corrected_stance,corrected_conviction,corrected_time_horizon,corrected_evidence_text,review_comment
m_20260603_001,ep_20260603_667,2026-06-03,EP667 | 🌍,Marvell,MRVL,US,company,past_review,medium,short,老黃講說 Marvell 可能是下一個兆元企業之後 Marvell 直接射出去。,主要是在回顧 Jensen Huang 點名後股價反應，屬於事後現象描述，不先作為新 bullish 訊號。,ASR transcript has errors such as Mario or 瑪瑞爾; manually verify against audio before approval,475,在老黃講說 / Mario可能是下一個照員企業之後 / Mario這一個有點像是說,,,,,,
m_20260603_002,ep_20260603_667,2026-06-03,EP667 | 🌍,光通訊,,concept,theme,bullish,medium,medium,光的一個成長的速率跟未來發展的可能性是持續的在拉大。,對光通訊方向有明確正向產業判斷，但屬概念主題，需事前定義籃子後才能回測。,ASR transcript needs manual cleanup; evidence may refer to optical interconnect CPO or silicon photonics,524,光的一個成長的速率 / 跟未來發展的可能性 / 是持續的在拉大,,,,,,
m_20260603_003,ep_20260603_667,2026-06-03,EP667 | 🌍,光通訊,,concept,theme,bullish,medium,short,有可能在後面這個資金又會再一次的說不定就往光的方向去跑。,提到資金可能再往光通訊方向流動，偏短中期題材判斷。,ASR transcript needs manual cleanup; do not approve until context is verified,539,那所以有可能在後面 / 這個資金又會再一次的 / 說不定就往光的方向去跑,,,,,,
m_20260603_004,ep_20260603_667,2026-06-03,EP667 | 🌍,AI PC,,concept,theme,watch,medium,medium,有沒有可能在 AI PC 這邊產出新的可能性。,語氣偏觀察與驗證，尚非明確看多，因此先標 watch。,ASR transcript needs manual cleanup; verify whether this is a new signal or discussion only,603,還有軟體的優化之後 / 那有沒有可能在AI PC這邊 / 產出新的可能性,,,,,,
m_20260603_005,ep_20260603_667,2026-06-03,EP667 | 🌍,AI PC,,concept,theme,bullish,medium,medium,如果 AI PC 可以拉起來的話 因為它本身的單價是比較高 裡面用到元件也是比較高。,對 AI PC 銷量若改善時的供應鏈價值有正向假設，但仍需確認語氣強度。,ASR transcript needs manual cleanup; concept not included in main backtest,742,但如果說 AI PC可以拉起來的話 / 因為它本身的單價是比較高 / AS PC比較高,,,,,,
m_20260603_006,ep_20260603_667,2026-06-03,EP667 | 🌍,台積電,2330,TWSE,company,bullish,medium,short,TSMC 很明顯地在轉強 搞不好後面投信的資金進來就有機會會把它推上去。,對 TSMC 型態與資金面有正向短期判斷，可作候選 bullish 訊號。,ASR transcript needs manual cleanup; verify quote and timing before approval,1110,那差不多就是在這兩個月會完成 / 所以搞不好後面投信的資金進來 / 就有機會會把它推上去,,,,,,
m_20260603_007,ep_20260603_667,2026-06-03,EP667 | 🌍,NVIDIA,NVDA,US,company,bullish,medium,short,NVIDIA 也是有突破在往上去走 所以確實其實是有機會的。,對 NVIDIA 走勢突破有正向描述，可作候選 bullish 訊號。,ASR transcript needs manual cleanup; verify exact wording before approval,1115,NVIDIA也是有突破在網上去走的 / 所以確實,,,,,,
m_20260603_008,ep_20260603_667,2026-06-03,EP667 | 🌍,功率半導體,,concept,theme,bullish,medium,medium,功率半導體相關的一些公司 基本面有滿顯著的在改善中 可能是下一波題材的一個會據點。,對功率半導體基本面與題材延伸有正向判斷，但為概念主題。,ASR transcript needs manual cleanup; concept not included in main backtest,1083,其實我們都注意到他的基本面 / 有滿顯著的在改善中 / 所以他確實有可能是下一波題材的一個會據點,,,,,,
m_20260530_001,ep_20260530_666,2026-05-30,EP666 | 🍐,被動元件,,concept,theme,bullish,medium,short,全球缺口大概是高達20幾%左右 所有人的產能加起來都是不夠的 後面都會持續發酵 持續的漲價。,對電容與被動元件供需缺口及漲價有明確正向描述，但需確認 ASR 是否誤寫材料名稱。,ASR transcript needs manual cleanup; verify whether this refers to aluminum capacitors or other passive components,678,它的全球缺口大概是高達20幾%左右 / 就是說所有人的產能加起來都是不夠的 / 所以這邊應該在後面都會持續發酵,,,,,,
m_20260530_002,ep_20260530_666,2026-05-30,EP666 | 🍐,AI 軟體,,concept,theme,bullish,medium,medium,其實AI是幫這些軟體去做加分 他不是一個扣分項。,對 AI 軟體受惠有明確正向判斷，可作概念候選訊號。,ASR transcript needs manual cleanup; concept not included in main backtest,770,那就告訴大家說 / 其實AI是幫這些軟體去做加分 / 他不是一個扣分項,,,,,,
m_20260530_003,ep_20260530_666,2026-05-30,EP666 | 🍐,Snowflake,SNOW,US,company,bullish,medium,short,最近像是什麼Octa或是Snowflake 都是開出極好的成績。,以近期成績作為正向證據，但 ASR 與上下文需校對後才能核准。,ASR transcript needs manual cleanup; verify exact company names and whether this is new signal or result review,768,那最近像是什麼Octa或是Snowflake / 都是開出雞號的成績 / 那就告訴大家說,,,,,,
m_20260530_004,ep_20260530_666,2026-05-30,EP666 | 🍐,ODM/OEM,,concept,theme,bullish,medium,short,讓老AI再一次的全部跑回來 重新動回去這些老AI的話 當然對很多人來講它是一個很大的刺激。,描述資金重新回到老 AI 與 ODM/OEM 族群，偏短期資金輪動正向候選。,ASR transcript needs manual cleanup; concept not included in main backtest,855,那像它重新動回去這些老AI的話 / 當然對很多人來講 / 它是一個很大的刺激,,,,,,
m_20260530_005,ep_20260530_666,2026-05-30,EP666 | 🍐,AI 軟體,,concept,theme,bullish,medium,medium,後面就是有可能這個資金會往這個軟體的方向去跑。,明確提到資金可能轉往軟體方向，可作 AI 軟體概念候選訊號。,ASR transcript needs manual cleanup; verify whether the intended scope is US AI software,960,就視為是一個表態了 / 那所以後面就是有可能這個資金 / 會往這個軟體的方向去跑,,,,,,
m_20260530_006,ep_20260530_666,2026-05-30,EP666 | 🍐,記憶體,,concept,theme,watch,medium,short,類似像現在記憶體 大家都知道說感超缺 然後突然有廠商說大擴產 那邊你就要小心。,對記憶體供需處在高熱與擴產風險提出提醒，因此先標 watch 而非 bullish 或 bearish。,ASR transcript needs manual cleanup; verify expansion context before approval,1926,類似像現在記憶體 / 大家都知道說感超缺 / 然後突然有廠商說,,,,,,
m_20260527_001,ep_20260527_665,2026-05-27,EP665 | 🌸,台積電,2330,TWSE,company,bullish,medium,medium,在台灣的話好像也沒有什麼別的更好的選擇 所以他台積電拿到的配已經超級好 後面會越來越好。,對台積電長期競爭與分紅事件後續有正向描述，可作候選 bullish 訊號。,ASR transcript needs manual cleanup; verify evidence wording against audio,523,老師講好像也沒有什麼 / 別的更好的選擇 / 所以他台積電拿到的配已經超級好,,,,,,
m_20260527_002,ep_20260527_665,2026-05-27,EP665 | 🌸,Tesla,TSLA,US,company,watch,medium,long,像Tesla這樣子的一個轉變 我覺得對很多長期的股東來講也是新蘭的接手。,討論 Tesla 從電動車轉向能源、自駕與機器人敘事，語氣偏長期觀察而非明確買進。,ASR transcript needs manual cleanup; verify whether stance should remain watch,636,像Tesla這樣子的一個轉變 / 我覺得對很多長期的股東來講 / 也是新蘭的接手,,,,,,
m_20260527_003,ep_20260527_665,2026-05-27,EP665 | 🌸,衛星 AI 運算,,concept,theme,bullish,medium,long,SpaceX某個程度上可能會變成新的一種NeoCloud概念股 我認為這個是很高機率會看到的。,對 SpaceX 衛星算力與 NeoCloud 故事有明確正向想像，但屬非上市概念題材。,ASR transcript needs manual cleanup; concept not included in main backtest,689,但我自己就會相信說SpaceX / 某個程度上可能會變成 / 新的一種NeoCloud概念股,,,,,,
m_20260527_004,ep_20260527_665,2026-05-27,EP665 | 🌸,散熱,,concept,theme,bullish,medium,long,如果說軌道衛星的AI伺服器是真的可以推起來的話 散熱這邊可能到後面都會帶來非常具有的一個收入。,對衛星 AI 伺服器帶動散熱需求有正向判斷，但需確認供應鏈標的後才能回測。,ASR transcript needs manual cleanup; concept not included in main backtest,740,如果說軌道衛星的AI伺服器 / 是真的可以推起來的話 / 下看起來是本夢比的東西,,,,,,
m_20260527_005,ep_20260527_665,2026-05-27,EP665 | 🌸,功率元件,,concept,theme,bullish,medium,short,有一些原件在缺貨 不管是被動員接種 這些功率原件開在漲價。,提到功率元件缺貨與漲價，偏短期供需正向候選。,ASR transcript needs manual cleanup; verify whether this overlaps passive components or power semiconductor,906,有一些原件在缺貨 / 不管是被動員接種 / 這些功率原件開在漲價,,,,,,
m_20260527_006,ep_20260527_665,2026-05-27,EP665 | 🌸,機器人,,concept,theme,watch,medium,medium,我還蠻能夠去接受這些 機器人這種東西 我相信就是機器人這種東西你都知道說它並沒有要在短期內去做什麼放量。,對機器人題材接受度高但也承認短期未放量，因此先標 watch。,ASR transcript needs manual cleanup; concept not included in main backtest,1016,那我相信就是我機器人這種東西 / 你都知道說 / 它並沒有要在短期內去做什麼放量吧,,,,,,
m_20260603_009,ep_20260603_667,2026-06-03,EP667 | 🌍,筆電 OEM,,concept,theme,watch,medium,medium,有沒有辦法去帶動這些筆電的 OEM 的話 可能要再觀察一下。,AI PC 題材是否帶動筆電 OEM 仍待驗證，因此標 watch。,ASR transcript needs manual cleanup; verify whether this is about notebook OEM demand,716,那實際上我覺得 / 有沒有辦法去帶動這些筆電的 OEM的話 / 可能要再觀察一下,,,,,,
m_20260603_010,ep_20260603_667,2026-06-03,EP667 | 🌍,被動元件,,concept,theme,bullish,medium,medium,不管是上面的被動元件 或是各種元件 我們是有注意到說都有一個材料的提升。,AI PC 或終端規格升級可能帶動材料與被動元件升級，但需確認上下文。,ASR transcript needs manual cleanup; concept not included in main backtest,728,不管是上面的被動元件 / 或是各種元件 / 我們是有注意到說,,,,,,
m_20260530_007,ep_20260530_666,2026-05-30,EP666 | 🍐,Salesforce,CRM,US,company,bullish,medium,short,你有注意到說像 Salesforce 他就狂買股票 我就用行動證明給你看。,把 Salesforce 管理層回購視為公司派正向表態，但需確認 ASR 是否誤寫 buyback 內容。,ASR transcript needs manual cleanup; verify whether this is buyback and whether stance should be bullish,754,你有注意到說像 Salesforce / 他搞了一個正式上的Raker High的一個白白 / 他就狂買股票,,,,,,
m_20260530_008,ep_20260530_666,2026-05-30,EP666 | 🍐,ServiceNow,NOW,US,company,bullish,medium,medium,ServiceNow的老闆也是跟大家講說 外面的那些AI論述全部都是講錯的 其實他的公司是在一個非常大的順風上面。,對 ServiceNow 在 AI 論述下處於順風有明確正向描述。,ASR transcript needs manual cleanup; verify exact quote and company context,764,就是外面的那些AI論述 / 就是全部都是講錯的 / 其實他的公司是在一個非常大的順風上面,,,,,,
m_20260530_009,ep_20260530_666,2026-05-30,EP666 | 🍐,AI Server,,concept,theme,watch,medium,medium,你也不是說AI的Server好 所以所有在做Server的都好 沒有有些Server就是可能是躺在地上。,對 AI Server 題材提出選股差異提醒，不把整個族群一概標 bullish。,ASR transcript needs manual cleanup; concept not included in main backtest,786,你也不是說AI的Server好 / 所以所有在做Server的都好 / 沒有有些Server就是可能是躺在地上,,,,,,
m_20260530_010,ep_20260530_666,2026-05-30,EP666 | 🍐,被動元件,,concept,theme,bullish,medium,short,綠電龍是非常的缺乏 市場對它的討論度是不夠的 他們其實都是有噴。,進一步指出鋁電容或其他被動元件缺貨且討論度不足，屬正向供需題材。,ASR transcript needs manual cleanup; verify whether 綠電龍 means aluminum electrolytic capacitor,908,被動員建沒有盆 / 沒有他們其實都是有盆 / 只是市場對它的討論度是不夠的,,,,,,
m_20260530_011,ep_20260530_666,2026-05-30,EP666 | 🍐,Cloudflare,NET,US,company,past_review,medium,medium,像那時候Piantia是二十幾直接噴到100多 那Clawflare什麼翻倍 CrossStrike就是一堆軟體都直接射出去。,回顧上一輪 AI 軟體行情中 Cloudflare 等股價表現，先標 past_review 避免當成新訊號。,ASR transcript needs manual cleanup; verify company spelling and whether this is historical review only,1091,像那時候Piantia是二十幾 / 直接噴到100多 / 那Clawflare 什麼翻倍,,,,,,
m_20260527_007,ep_20260527_665,2026-05-27,EP665 | 🌸,被動元件,,concept,theme,bullish,medium,medium,整體趨勢都是在往上 所以其實像前面去看被動元件的時候 有時候你當然也會懷疑。,對全球被動元件趨勢仍偏正向，但保留是否人為小炒作的疑慮。,ASR transcript needs manual cleanup; verify quote and scope before approval,467,可是整體趨勢都是在網上 / 所以其實像前面去看被動員件的時候 / 有時候你當然也會懷疑說,,,,,,
m_20260527_008,ep_20260527_665,2026-05-27,EP665 | 🌸,衛星 AI 運算,,concept,theme,bullish,medium,long,像衛星的這種AI運算 雖然有些人會覺得說太遠了 但我現在是會有興趣想要去看他的。,對衛星 AI 運算從不看好轉為有興趣，屬長期題材候選。,ASR transcript needs manual cleanup; concept not included in main backtest,939,雖然有些人會覺得說太遠了 / 或什麼 / 但我現在是會有興趣想要去看他的,,,,,,
m_20260527_009,ep_20260527_665,2026-05-27,EP665 | 🌸,載板,,concept,theme,past_review,medium,short,像載板你就比較講 就是它還是整天在那邊噴。,主要是回顧載板族群已經上漲，暫不當成新的 bullish 訊號。,ASR transcript needs manual cleanup; concept not included in main backtest,995,像宅板你就比較講 / 就是它還是整天在那邊噴 / 那一些料件,,,,,,
